,strike_price,option_type,entry_time,entry_price,exit_time,exit_price,exit_reason,expiry_date,m2m,trade_date,gross_pnl,expenses,interest,net_pnl
,15250,CE,2021-02-09 11:20:00,92.05,2021-02-09 15:15:00,41.1,EOD,2021-02-11,3821.25,2021-02-09,3821.25,11.2844625,0,3809.9655375
,15100,CE,2021-02-10 09:30:00,92.6,2021-02-10 11:35:00,67.85,Signal Change,2021-02-11,1856.25,2021-02-10,1856.25,13.5981375,32.87,1809.7818625
,15050,PE,2021-02-10 11:35:00,80.3,2021-02-10 11:40:00,75.2,Signal Change,2021-02-11,382.5,2021-02-10,382.5,13.178625,0,369.321375
,15100,CE,2021-02-10 11:40:00,72.4,2021-02-10 13:50:00,39.25,Signal Change,2021-02-11,2486.25,2021-02-10,2486.25,9.4623375,0,2476.7876625
,15000,PE,2021-02-10 13:50:00,87,2021-02-10 15:15:00,36.55,EOD,2021-02-11,3783.75,2021-02-10,3783.75,10.4708625,0,3773.2791375
,15150,PE,2021-02-11 14:55:00,7.25,2021-02-11 15:15:00,0.5,EOD,2021-02-11,506.25,2021-02-11,506.25,0.6568125,32.87,472.7231875
,15200,PE,2021-02-12 09:30:00,147.3,2021-02-12 09:45:00,136,Signal Change,2021-02-18,847.500000000001,2021-02-12,847.500000000001,24.009675,32.87,790.620325000001
,15200,CE,2021-02-12 09:45:00,127,2021-02-12 09:50:00,128.1,Signal Change,2021-02-18,-82.4999999999996,2021-02-12,-82.4999999999996,21.619725,0,-104.119725
,15200,PE,2021-02-12 09:50:00,133.6,2021-02-12 09:55:00,134.5,Signal Change,2021-02-18,-67.5000000000004,2021-02-12,-67.5000000000004,22.721475,0,-90.2214750000004
,15200,CE,2021-02-12 09:55:00,127.2,2021-02-12 10:05:00,120,Signal Change,2021-02-18,540,2021-02-12,540,20.9502,0,519.0498
,15200,PE,2021-02-12 10:05:00,142.8,2021-02-12 10:30:00,136.85,Signal Change,2021-02-18,446.250000000001,2021-02-12,446.250000000001,23.7003375,0,422.549662500001
,15200,CE,2021-02-12 10:30:00,121.2,2021-02-12 10:35:00,124.85,Signal Change,2021-02-18,-273.749999999999,2021-02-12,-273.749999999999,20.8527375,0,-294.602737499999
,15200,PE,2021-02-12 10:35:00,133.9,2021-02-12 10:40:00,128.85,Signal Change,2021-02-18,378.750000000001,2021-02-12,378.750000000001,22.2680625,0,356.481937500001
,15200,CE,2021-02-12 10:40:00,127.8,2021-02-12 10:45:00,131.35,Signal Change,2021-02-18,-266.25,2021-02-12,-266.25,21.9629625,0,-288.2129625
,15200,PE,2021-02-12 10:45:00,123.75,2021-02-12 10:50:00,120.75,Signal Change,2021-02-18,225,2021-02-12,225,20.721375,0,204.278625
,15200,CE,2021-02-12 10:50:00,133.7,2021-02-12 10:55:00,132.8,Signal Change,2021-02-18,67.4999999999983,2021-02-12,67.4999999999983,22.585875,0,44.9141249999983
,15200,PE,2021-02-12 10:55:00,121.8,2021-02-12 13:57:00,166.65,Max SL,2021-02-18,-3363.75,2021-02-12,-3363.75,24.4461375,0,-3388.1961375
,15100,PE,2021-02-12 14:05:00,145.85,2021-02-12 15:15:00,102.25,EOD,2021-02-18,3270,2021-02-12,3270,21.026475,0,3248.973525
,15300,PE,2021-02-15 09:30:00,102.3,2021-02-15 15:15:00,81.55,EOD,2021-02-18,1556.25,2021-02-15,1556.25,15.5812875,32.87,1507.7987125
,15400,CE,2021-02-16 09:30:00,101.5,2021-02-16 10:15:00,87.9,Signal Change,2021-02-18,1020,2021-02-16,1020,16.05165,32.87,971.07835
,15400,PE,2021-02-16 10:15:00,92.75,2021-02-16 11:15:00,93,Signal Change,2021-02-18,-18.75,2021-02-16,-18.75,15.7423125,0,-34.4923125
,15350,CE,2021-02-16 11:15:00,114,2021-02-16 15:15:00,70.7,EOD,2021-02-18,3247.5,2021-02-16,3247.5,15.653325,0,3231.846675
,15250,CE,2021-02-17 09:55:00,66.9,2021-02-17 11:11:00,109.2,Max SL,2021-02-18,-3172.5,2021-02-17,-3172.5,14.924475,32.87,-3220.294475
,15200,CE,2021-02-17 13:40:00,63.9,2021-02-17 15:15:00,68.25,EOD,2021-02-18,-326.25,2021-02-17,-326.25,11.1997125,0,-337.4497125
,15150,CE,2021-02-18 11:50:00,39.35,2021-02-18 15:15:00,0.15,EOD,2021-02-18,2940,2021-02-18,2940,3.347625,32.87,2903.782375
,15050,CE,2021-02-19 09:30:00,129,2021-02-19 10:16:00,169.65,Max SL,2021-02-25,-3048.75,2021-02-19,-3048.75,25.3105875,32.87,-3106.9305875
,14900,CE,2021-02-19 14:15:00,161.4,2021-02-19 15:15:00,191,EOD,2021-02-25,-2220,2021-02-19,-2220,29.8659,0,-2249.8659
,15000,CE,2021-02-22 09:30:00,119.1,2021-02-22 13:31:00,38.45,Target Hit,2021-02-25,6048.75,2021-02-22,6048.75,13.3523625,32.87,6002.5276375
,14750,CE,2021-02-22 13:35:00,121.65,2021-02-22 15:15:00,92.1,EOD,2021-02-25,2216.25,2021-02-22,2216.25,18.1153125,0,2198.1346875
,14750,CE,2021-02-23 09:30:00,114,2021-02-23 10:33:00,155.45,Max SL,2021-02-25,-3108.75,2021-02-23,-3108.75,22.8358875,32.87,-3164.4558875
,15150,PE,2021-02-25 09:30:00,45.5,2021-02-25 11:15:00,42.3,Signal Change,2021-02-25,240,2021-02-25,240,7.44105,32.87,199.68895
,15150,CE,2021-02-25 11:15:00,35.6,2021-02-25 15:15:00,0.3,EOD,2021-02-25,2647.5,2021-02-25,2647.5,3.042525,0,2644.457475
,14900,CE,2021-02-26 09:30:00,179.55,2021-02-26 12:16:00,97.9,Target Hit,2021-03-04,6123.75,2021-02-26,6123.75,23.5138875,32.87,6067.3661125
,14600,CE,2021-02-26 12:20:00,237.4,2021-02-26 15:15:00,185.05,EOD,2021-03-04,3926.25,2021-02-26,3926.25,35.8026375,0,3890.4473625
,14650,PE,2021-03-01 09:30:00,167,2021-03-01 11:46:00,142.2,Trailing SL,2021-03-04,1860,2021-03-01,1860,26.2047,32.87,1800.9253
,14850,PE,2021-03-02 09:45:00,109.05,2021-03-02 11:16:00,155.55,Max SL,2021-03-04,-3487.5,2021-03-02,-3487.5,22.42485,32.87,-3542.79485
,14800,PE,2021-03-02 11:25:00,130.6,2021-03-02 15:15:00,52.2,EOD,2021-03-04,5880,2021-03-02,5880,15.4923,0,5864.5077
,15050,PE,2021-03-03 09:30:00,84.25,2021-03-03 15:15:00,14.65,EOD,2021-03-04,5220,2021-03-03,5220,8.381775,32.87,5178.748225
,15050,PE,2021-03-04 09:30:00,58.45,2021-03-04 09:40:00,74.85,Signal Change,2021-03-04,-1230,2021-03-04,-1230,11.297175,32.87,-1274.167175
,15000,CE,2021-03-04 09:40:00,75.65,2021-03-04 09:45:00,64.45,Signal Change,2021-03-04,840,2021-03-04,840,11.873475,0,828.126525
,15000,PE,2021-03-04 09:45:00,63.5,2021-03-04 10:20:00,41.05,Signal Change,2021-03-04,1683.75,2021-03-04,1683.75,8.8606125,0,1674.8893875
,15050,CE,2021-03-04 10:20:00,51,2021-03-04 11:11:00,102.4,Max SL,2021-03-04,-3855,2021-03-04,-3855,13.00065,0,-3868.00065
,15150,CE,2021-03-04 11:15:00,37.7,2021-03-04 15:15:00,0.3,EOD,2021-03-04,2805,2021-03-04,2805,3.2205,0,2801.7795
,15000,CE,2021-03-05 09:30:00,204.1,2021-03-05 10:10:00,247.7,Max SL,2021-03-10,-3270,2021-03-05,-3270,38.29005,32.87,-3341.16005
,15050,CE,2021-03-05 10:15:00,209.7,2021-03-05 13:55:00,127.95,Target Hit,2021-03-10,6131.25,2021-03-05,6131.25,28.6158375,0,6102.6341625
,14900,CE,2021-03-05 14:05:00,191.4,2021-03-05 14:30:00,187.6,Signal Change,2021-03-10,285.000000000001,2021-03-05,285.000000000001,32.12025,0,252.879750000001
,14900,PE,2021-03-05 14:30:00,190.4,2021-03-05 14:40:00,186.55,Signal Change,2021-03-10,288.75,2021-03-05,288.75,31.9465125,0,256.8034875
,14900,CE,2021-03-05 14:40:00,188.3,2021-03-05 15:15:00,211,EOD,2021-03-10,-1702.5,2021-03-05,-1702.5,33.840675,0,-1736.340675
,15050,CE,2021-03-08 09:30:00,142.85,2021-03-08 09:55:00,159.45,Signal Change,2021-03-10,-1245,2021-03-08,-1245,25.619925,32.87,-1303.489925
,15100,PE,2021-03-08 09:55:00,157.45,2021-03-08 10:45:00,211.25,Max SL,2021-03-10,-4035,2021-03-08,-4035,31.247325,0,-4066.247325
,15000,PE,2021-03-08 10:50:00,147.2,2021-03-08 15:03:00,146.4,Trailing SL,2021-03-10,59.9999999999987,2021-03-08,59.9999999999987,24.8826,0,35.1173999999987
,15100,PE,2021-03-09 09:40:00,100.15,2021-03-09 09:50:00,120,Signal Change,2021-03-10,-1488.75,2021-03-09,-1488.75,18.6577125,32.87,-1540.2777125
,15050,CE,2021-03-09 09:50:00,108.15,2021-03-09 13:10:00,62.95,Signal Change,2021-03-10,3390,2021-03-09,3390,14.500725,0,3375.499275
,15000,PE,2021-03-09 13:10:00,90.95,2021-03-09 15:15:00,34.5,EOD,2021-03-10,4233.75,2021-03-09,4233.75,10.6318875,0,4223.1181125
,15200,PE,2021-03-10 09:30:00,57.45,2021-03-10 12:19:00,97.9,Max SL,2021-03-10,-3033.75,2021-03-10,-3033.75,13.1659125,32.87,-3079.7859125
,15300,CE,2021-03-12 09:45:00,159.2,2021-03-12 14:05:00,76.65,Target Hit,2021-03-18,6191.25,2021-03-12,6191.25,19.9882875,32.87,6138.3917125
,15050,CE,2021-03-12 14:10:00,170,2021-03-12 15:15:00,157.2,EOD,2021-03-18,960.000000000001,2021-03-12,960.000000000001,27.7302,0,932.269800000001
,14900,CE,2021-03-15 09:30:00,172.35,2021-03-15 11:55:00,106.15,Signal Change,2021-03-18,4965,2021-03-15,4965,23.602875,32.87,4908.527125
,14800,PE,2021-03-15 11:55:00,143.55,2021-03-15 15:06:00,61.95,Target Hit,2021-03-18,6120,2021-03-15,6120,17.416125,0,6102.583875
,14950,PE,2021-03-15 15:10:00,120.05,2021-03-15 15:15:00,133.25,EOD,2021-03-18,-990,2021-03-15,-990,21.467175,0,-1011.467175
,15000,PE,2021-03-16 09:30:00,132.35,2021-03-16 11:40:00,118.4,Signal Change,2021-03-18,1046.25,2021-03-16,1046.25,21.2510625,32.87,992.128937499999
,14950,CE,2021-03-16 11:40:00,129.2,2021-03-16 15:15:00,99.4,EOD,2021-03-18,2235,2021-03-16,2235,19.37385,0,2215.62615
,14850,CE,2021-03-17 10:30:00,108,2021-03-17 15:15:00,33.1,EOD,2021-03-18,5617.5,2021-03-17,5617.5,11.958225,32.87,5572.671775
,14850,CE,2021-03-18 09:30:00,44.45,2021-03-18 15:15:00,0.3,EOD,2021-03-18,3311.25,2021-03-18,3311.25,3.7925625,32.87,3274.5874375
,14350,CE,2021-03-19 09:30:00,236.2,2021-03-19 09:55:00,273.7,Signal Change,2021-03-25,-2812.5,2021-03-19,-2812.5,43.214025,32.87,-2888.584025
,14450,PE,2021-03-19 09:55:00,189.75,2021-03-19 10:00:00,188.65,Signal Change,2021-03-25,82.4999999999996,2021-03-19,82.4999999999996,32.0694,0,50.4305999999996
,14450,CE,2021-03-19 10:00:00,212.2,2021-03-19 10:05:00,214.8,Signal Change,2021-03-25,-195.000000000002,2021-03-19,-195.000000000002,36.18825,0,-231.188250000002
,14450,PE,2021-03-19 10:05:00,185.1,2021-03-19 11:46:00,169.25,Trailing SL,2021-03-25,1188.75,2021-03-19,1188.75,30.0311625,0,1158.7188375
,14750,PE,2021-03-19 15:10:00,157.1,2021-03-19 15:15:00,160,EOD,2021-03-25,-217.5,2021-03-19,-217.5,26.874225,0,-244.374225
,14800,PE,2021-03-23 09:35:00,119.2,2021-03-23 15:15:00,83.15,EOD,2021-03-25,2703.75,2021-03-23,2703.75,17.1491625,32.87,2653.7308375
,14750,CE,2021-03-24 09:45:00,86.6,2021-03-24 15:15:00,15.8,EOD,2021-03-25,5310,2021-03-24,5310,8.6784,32.87,5268.4516
,14450,CE,2021-03-25 09:30:00,63.65,2021-03-25 12:20:00,11.75,Signal Change,2021-03-25,3892.5,2021-03-25,3892.5,6.39015,32.87,3853.23985
,14300,PE,2021-03-25 12:20:00,46.65,2021-03-25 12:55:00,42.8,Signal Change,2021-03-25,288.75,2021-03-25,288.75,7.5808875,0,281.1691125
,14300,CE,2021-03-25 12:55:00,54.2,2021-03-25 13:00:00,49.75,Signal Change,2021-03-25,333.75,2021-03-25,333.75,8.8097625,0,324.9402375
,14300,PE,2021-03-25 13:00:00,43.15,2021-03-25 15:15:00,3.8,EOD,2021-03-25,2951.25,2021-03-25,2951.25,3.9790125,0,2947.2709875
,14450,PE,2021-03-26 09:30:00,165.7,2021-03-26 15:15:00,115.9,EOD,2021-04-01,3735,2021-03-26,3735,23.8656,32.87,3678.2644
,14700,PE,2021-03-30 09:35:00,113.85,2021-03-30 13:45:00,75.85,Signal Change,2021-04-01,2850,2021-03-30,2850,16.077075,32.87,2801.052925
,14800,CE,2021-03-30 13:45:00,107.65,2021-03-30 14:17:00,147.65,Max SL,2021-04-01,-3000,2021-03-30,-3000,21.636675,0,-3021.636675
,14850,CE,2021-03-30 14:20:00,120.95,2021-03-30 14:55:00,121.65,Signal Change,2021-04-01,-52.5000000000002,2021-03-30,-52.5000000000002,20.56035,0,-73.0603500000002
,14850,PE,2021-03-30 14:55:00,100.55,2021-03-30 15:15:00,108.25,EOD,2021-04-01,-577.5,2021-03-30,-577.5,17.6958,0,-595.1958
,14750,CE,2021-03-31 09:30:00,93.75,2021-03-31 15:15:00,53.4,EOD,2021-04-01,3026.25,2021-03-31,3026.25,12.4709625,32.87,2980.9090375
,14800,CE,2021-04-01 13:50:00,48.1,2021-04-01 15:15:00,69.35,EOD,2021-04-01,-1593.75,2021-04-01,-1593.75,9.9538875,32.87,-1636.5738875
,14750,CE,2021-04-05 09:30:00,160.55,2021-04-05 10:12:00,77.45,Target Hit,2021-04-08,6232.5,2021-04-05,6232.5,20.1705,32.87,6179.4595
